01st Dec 2018
Position,Game,Game System,Maker,Game Type,Weekly Sales,Total Sales,Week #
1,Call of Duty: Black Ops IIII,PS4,Activision,Shooter,276492,2718657,8
2,Red Dead Redemption 2,PS4,Take-Two Interactive,Action-Adventure,272080,3577478,6
3,Super Mario Party,NS,Nintendo,Party,235959,1181631,9
4,Call of Duty: Black Ops IIII,XOne,Activision,Shooter,229932,2297148,8
5,"Pokemon: Let's Go, Pikachu!",NS,Nintendo,Role-Playing,220792,1183645,3
6,Mario Kart 8 Deluxe,NS,Nintendo,Racing,197637,3801674,84
7,Spider-Man,PS4,Sony Interactive Entertainment,Action-Adventure,179356,2632278,13
8,Battlefield V,XOne,Electronic Arts,Shooter,173670,513762,2
9,Red Dead Redemption 2,XOne,Take-Two Interactive,Action-Adventure,170366,2633736,6
10,MineCraft,XOne,Microsoft Studios,Misc,163166,2766454,211
11,Battlefield V,PS4,Electronic Arts,Shooter,136166,416416,2
12,"Pokemon: Let's Go, Eevee!",NS,Nintendo,Role-Playing,132845,714488,3
13,NBA 2K19,PS4,Take-Two Interactive,Sports,128586,1235236,12
14,God of War,PS4,Sony Interactive Entertainment,Action,103136,2397214,33
15,NBA 2K19,XOne,Take-Two Interactive,Sports,98944,1045115,12
16,Assassin's Creed Odyssey,PS4,Ubisoft,Action-Adventure,97946,847307,9
17,Madden NFL 19,PS4,Electronic Arts,Sports,97399,1284736,17
18,Spyro Reignited Trilogy,PS4,Activision,Platform,80594,493436,3
19,Assassin's Creed Odyssey,XOne,Ubisoft,Action-Adventure,69052,623774,9
20,Fallout 76,XOne,Bethesda Softworks,Role-Playing,68594,354125,3
21,Darksiders III,PS4,THQ Nordic,Action,62516,62516,1
22,Madden NFL 19,XOne,Electronic Arts,Sports,61511,1024833,17
23,Fallout 76,PS4,Bethesda Softworks,Role-Playing,59911,356976,3
24,The Legend of Zelda: Breath of the Wild,NS,Nintendo,Action-Adventure,59611,3857649,92
25,Horizon: Zero Dawn,PS4,Sony Interactive Entertainment,Action,54498,1973921,92
26,Just Dance 2019,NS,Ubisoft,Music,52424,187620,6
27,FIFA 19,PS4,Electronic Arts,Sports,52423,666330,10
28,Super Mario Odyssey,NS,Nintendo,Platform,50497,4357762,58
29,Darksiders III,XOne,THQ Nordic,Action,48441,48441,1
30,Spyro Reignited Trilogy,XOne,Activision,Platform,48018,202505,3
