Date,Position,Game,Game System,Maker,Game Type,Weekly Sales,Total Sales,Week #
29th Dec 2018,1,Super Smash Bros.,NS,Nintendo,Fighting,432869,3878968,4
29th Dec 2018,2,Red Dead Redemption 2,PS4,Take-Two Interactive,Action-Adventure,215113,4837639,10
29th Dec 2018,3,Call of Duty: Black Ops IIII,PS4,Activision,Shooter,198626,3722869,12
29th Dec 2018,4,Spider-Man,PS4,Sony Interactive Entertainment,Action-Adventure,167154,3350633,17
29th Dec 2018,5,Mario Kart 8 Deluxe,NS,Nintendo,Racing,161657,4646228,88
29th Dec 2018,6,Super Mario Party,NS,Nintendo,Party,153482,1954666,13
29th Dec 2018,7,Call of Duty: Black Ops IIII,XOne,Activision,Shooter,145735,3006173,12
29th Dec 2018,8,"Pokemon: Let's Go, Pikachu!",NS,Nintendo,Role-Playing,144571,1991540,7
29th Dec 2018,9,Red Dead Redemption 2,XOne,Take-Two Interactive,Action-Adventure,143025,3456086,10
29th Dec 2018,10,Battlefield V,XOne,Electronic Arts,Shooter,82669,962059,6
29th Dec 2018,11,"Pokemon: Let's Go, Eevee!",NS,Nintendo,Role-Playing,73018,1122216,7
29th Dec 2018,12,Super Mario Odyssey,NS,Nintendo,Platform,69291,4689146,62
29th Dec 2018,13,Battlefield V,PS4,Electronic Arts,Shooter,67189,738277,6
29th Dec 2018,14,The Legend of Zelda: Breath of the Wild,NS,Nintendo,Action-Adventure,64508,4175528,96
29th Dec 2018,15,NBA 2K19,XOne,Take-Two Interactive,Sports,62812,1353112,16
29th Dec 2018,16,NBA 2K19,PS4,Take-Two Interactive,Sports,60210,1558568,16
29th Dec 2018,17,Assassin's Creed Odyssey,PS4,Ubisoft,Action-Adventure,54435,1085566,13
29th Dec 2018,18,Madden NFL 19,PS4,Electronic Arts,Sports,51343,1499387,21
29th Dec 2018,19,Minecraft,NS,Mojang,Misc,48484,638872,28
29th Dec 2018,20,Assassin's Creed Odyssey,XOne,Ubisoft,Action-Adventure,47067,835544,13
29th Dec 2018,21,Fortnite,XOne,Gearbox Software,Action,44881,551798,76
29th Dec 2018,22,Grand Theft Auto V,XOne,Take-Two Interactive,Action,44464,4326516,215
29th Dec 2018,23,Madden NFL 19,XOne,Electronic Arts,Sports,41515,1221667,21
29th Dec 2018,24,God of War,PS4,Sony Interactive Entertainment,Action,39990,2604280,37
29th Dec 2018,25,Mario + Rabbids Kingdom Battle,NS,Ubisoft,Strategy,34168,1009994,70
29th Dec 2018,26,Grand Theft Auto V,PS4,Take-Two Interactive,Action,33566,5571891,215
29th Dec 2018,27,Forza Horizon 4,XOne,Microsoft Studios,Racing,33041,682179,13
29th Dec 2018,28,Spyro Reignited Trilogy,PS4,Activision,Platform,32831,690876,7
29th Dec 2018,29,Just Dance 2019,NS,Ubisoft,Music,29100,396680,10
29th Dec 2018,30,Borderlands 2 VR,PS4,Take-Two Interactive,Shooter,26649,66593,3
