Year,Game,Platform,Metascore,User Score,Release Date,Total Number of Critic Ratings,Positive Critic Reviews,Mixed Critic Reviews,Negative Critic Reviews,Total Number of User Ratings,Positive User Reviews,Mixed User Reviews,Negative User Reviews
1995,Full Throttle,PC,86,8.8,30-Apr-95,8,6,2,0,158,19,1,0
1996,Sid Meier's Civilization II,PC,94,8.9,29-Feb-96,7,7,0,0,408,45,0,1
1996,Quake,PC,94,8.8,22-Jun-96,9,9,0,0,700,82,4,1
1996,Diablo,PC,94,8.7,31-Dec-96,12,12,0,0,1003,79,8,7
1996,Super Mario 64,N64,94,9.2,26-Sep-96,13,13,0,0,994,216,12,8
1996,Wipeout XL,PS,93,8.4,30-Sep-96,8,8,0,0,28,4,1,1
1996,Wave Race 64,N64,92,8.2,1-Nov-96,13,12,1,0,95,15,2,0
1996,Tomb Raider,PS,91,8.4,15-Nov-96,13,13,0,0,194,31,4,1
1996,Resident Evil,PS,91,9,30-Mar-96,8,8,0,0,405,50,7,2
1996,Command & Conquer: Red Alert,PC,90,8.8,31-Oct-96,7,7,0,0,318,25,2,0
1996,Tekken 2,PS,89,8.6,25-Aug-96,8,8,0,0,136,15,1,0
1996,Duke Nukem 3D,PC,89,8.7,29-Jan-96,8,8,0,0,414,39,2,2
1996,Obsidian,PC,85,7.1,31-Dec-96,9,8,1,0,16,1,0,0
1996,Master of Orion II: Battle at Antares,PC,84,8.9,1-Oct-96,9,8,1,0,21,7,1,0
1996,Super Puzzle Fighter II Turbo,PS,83,8,30-Nov-96,9,8,1,0,9,1,0,0
1996,Pilotwings 64,N64,80,8.1,29-Sep-96,13,11,1,1,38,7,3,0
1996,Time Commando,PC,80,8.3,31-Jul-96,7,6,1,0,29,0,0,0
1996,Circle of Blood,PC,80,8.3,30-Sep-96,9,8,0,1,20,4,0,0
1996,RayStorm,PS,79,7.8,31-Dec-96,7,7,0,0,6,2,1,0
1996,Bad Mojo,PC,74,7.1,29-Feb-96,10,8,1,1,12,3,0,0
1996,Harvester,PC,53,7.8,31-Aug-96,8,2,2,4,45,10,0,0
1997,GoldenEye 007,N64,96,9,25-Aug-97,21,21,0,0,575,120,11,4
1997,Castlevania: Symphony of the Night,PS,93,9.2,2-Oct-97,12,12,0,0,525,101,4,0
1997,Sid Meier's Gettysburg!,PC,92,7.4,30-Sep-97,7,7,0,0,38,6,0,2
1997,Final Fantasy VII,PS,92,9.2,3-Sep-97,20,20,0,0,1716,354,33,15
1997,PaRappa the Rapper,PS,92,7.5,31-Oct-97,15,15,0,0,67,13,1,5
1997,Myth: The Fallen Lords,PC,91,8.6,31-Oct-97,9,9,0,0,79,6,0,0
1997,Colony Wars,PS,91,8.1,31-Oct-97,12,11,1,0,17,2,0,0
1997,Star Wars Jedi Knight: Dark Forces II,PC,91,8.6,30-Sep-97,10,9,1,0,177,19,1,0
1997,Blast Corps,N64,90,8.5,28-Feb-97,12,12,0,0,48,8,1,0
1997,Fallout,PC,89,8.8,30-Sep-97,12,12,0,0,1086,107,8,6
1997,The Curse of Monkey Island,PC,89,9,31-Oct-97,9,8,1,0,277,35,1,1
1997,Diddy Kong Racing,N64,88,8.4,24-Nov-97,15,13,2,0,147,31,3,0
1997,Star Fox 64,N64,88,8.9,1-Jul-97,16,15,1,0,223,44,1,1
1997,Total Annihilation,PC,86,8.9,30-Sep-97,10,9,1,0,188,38,2,0
1997,Alundra,PS,86,8.9,31-Dec-97,9,8,1,0,66,13,1,0
1997,Oddworld: Abe's Oddysee,PS,85,8.9,31-Aug-97,10,9,1,0,129,20,3,1
1997,Turok: Dinosaur Hunter,N64,85,8.3,28-Feb-97,13,10,3,0,71,15,2,0
1997,Bushido Blade,PS,83,8.2,30-Sep-97,13,11,2,0,23,3,0,0
1997,Age of Empires,PC,83,8.7,30-Sep-97,9,7,2,0,321,22,5,1
1997,Ace Combat 2,PS,83,8.6,31-Jul-97,10,7,3,0,39,8,1,1
1997,Mario Kart 64,N64,83,8.7,10-Feb-97,15,12,3,0,350,57,11,2
1997,Extreme-G,N64,82,8.4,30-Sep-97,11,8,3,0,19,2,0,0
1997,Blood,PC,82,8.8,31-May-97,7,5,2,0,115,18,0,0
1997,The Last Express,PC,82,8.7,31-Mar-97,8,6,2,0,70,9,1,1
1997,Duke Nukem 64,N64,73,7.5,31-Oct-97,11,7,4,0,23,2,1,0
1997,Broken Sword: The Smoking Mirror,PC,69,7.8,31-Oct-97,11,6,4,1,103,6,3,2
1997,Postal,PC,56,6.4,30-Sep-97,7,0,6,1,95,11,4,7
